layer,relation_group_id,accuracy,macro_f1,nb_test_examples,nb_train_examples,tn,fp,fn,tp
25.0,media,0.601123595505618,0.5518916427330426,178.0,3978.0,24.0,65.0,6.0,83.0
26.0,media,0.6292134831460674,0.5816835208659735,178.0,3978.0,86.0,3.0,63.0,26.0
27.0,media,0.6741573033707865,0.6486044928522805,178.0,3978.0,84.0,5.0,53.0,36.0
0.0,hierarchy,0.5,0.3333333333333333,46.0,4110.0,0.0,23.0,0.0,23.0
1.0,hierarchy,0.5,0.3333333333333333,46.0,4110.0,0.0,23.0,0.0,23.0
2.0,hierarchy,0.4782608695652174,0.3235294117647059,46.0,4110.0,22.0,1.0,23.0,0.0
3.0,hierarchy,0.5,0.3333333333333333,46.0,4110.0,0.0,23.0,0.0,23.0
4.0,hierarchy,0.5,0.3333333333333333,46.0,4110.0,0.0,23.0,0.0,23.0
5.0,hierarchy,0.5434782608695652,0.4495726495726496,46.0,4110.0,3.0,20.0,1.0,22.0
6.0,hierarchy,0.5,0.3333333333333333,46.0,4110.0,0.0,23.0,0.0,23.0
7.0,hierarchy,0.5217391304347826,0.43526785714285715,46.0,4110.0,21.0,2.0,20.0,3.0
8.0,hierarchy,0.41304347826086957,0.3991291727140784,46.0,4110.0,6.0,17.0,10.0,13.0
9.0,hierarchy,0.5217391304347826,0.4559139784946237,46.0,4110.0,4.0,19.0,3.0,20.0
10.0,hierarchy,0.5217391304347826,0.43526785714285715,46.0,4110.0,3.0,20.0,2.0,21.0
11.0,hierarchy,0.717391304347826,0.7106918238993711,46.0,4110.0,20.0,3.0,10.0,13.0
12.0,hierarchy,0.5,0.3333333333333333,46.0,4110.0,0.0,23.0,0.0,23.0
13.0,hierarchy,0.5434782608695652,0.42328358208955225,46.0,4110.0,2.0,21.0,0.0,23.0
14.0,hierarchy,0.6521739130434783,0.6267748478701826,46.0,4110.0,21.0,2.0,14.0,9.0
15.0,hierarchy,0.717391304347826,0.6928608115048793,46.0,4110.0,23.0,0.0,13.0,10.0
16.0,hierarchy,0.5434782608695652,0.4495726495726496,46.0,4110.0,3.0,20.0,1.0,22.0
17.0,hierarchy,0.6521739130434783,0.6166666666666667,46.0,4110.0,8.0,15.0,1.0,22.0
18.0,hierarchy,0.7608695652173914,0.7513513513513514,46.0,4110.0,13.0,10.0,1.0,22.0
19.0,hierarchy,0.8260869565217391,0.8257575757575758,46.0,4110.0,20.0,3.0,5.0,18.0
20.0,hierarchy,0.6739130434782609,0.6700143472022956,46.0,4110.0,13.0,10.0,5.0,18.0
21.0,hierarchy,0.6739130434782609,0.6700143472022956,46.0,4110.0,13.0,10.0,5.0,18.0
22.0,hierarchy,0.717391304347826,0.6928608115048793,46.0,4110.0,23.0,0.0,13.0,10.0
23.0,hierarchy,0.6304347826086957,0.6080200501253132,46.0,4110.0,9.0,14.0,3.0,20.0
24.0,hierarchy,0.5434782608695652,0.47126436781609193,46.0,4110.0,4.0,19.0,2.0,21.0
25.0,hierarchy,0.5217391304347826,0.486815415821501,46.0,4110.0,6.0,17.0,5.0,18.0
26.0,hierarchy,0.5652173913043478,0.5208333333333333,46.0,4110.0,6.0,17.0,3.0,20.0
